order_item_id,order_id,product_id,quantity,item_price
1,1,1,2,24778.8
2,1,7,2,832.35
3,2,1,1,22692.86
4,3,1,1,23647.35
5,3,2,1,55292.07
6,3,2,1,58037.23
7,4,4,2,746.64
8,5,2,1,58937.9
9,5,2,1,55699.83
10,6,2,1,57700.7
11,6,2,1,55520.14
12,7,7,2,816.16
13,7,3,2,1885.5
14,7,5,1,4313.0
15,8,4,1,789.22
16,9,5,1,4349.91
17,9,2,2,58724.24
18,9,5,2,4333.61
19,10,1,2,24584.11
20,11,5,2,4342.2
21,12,4,2,753.55
22,12,2,1,55754.3
23,12,1,1,23997.11
24,13,2,2,57015.79
25,14,1,2,22570.78
26,15,5,1,4394.0
27,16,3,2,1881.76
28,17,2,1,54962.78
29,17,1,1,24466.31
30,17,2,2,57985.32
31,18,1,1,24566.22
32,18,5,1,4099.69
33,19,1,2,24811.4
34,20,1,2,23838.88
35,21,1,1,22691.59
36,22,1,1,23269.49
37,22,1,2,24523.31
38,23,5,2,4209.49
39,23,1,2,23178.75
40,24,4,1,728.21
41,25,1,1,24572.18
42,26,2,1,59152.9
43,27,2,1,56068.69
44,27,5,2,4386.76
45,28,1,2,23239.86
46,29,2,1,55075.52
47,30,2,1,56936.26
48,30,3,1,1833.06
49,31,3,2,1906.38
50,32,2,2,54968.18
51,32,3,1,1869.05
52,33,2,2,59345.13
53,34,7,2,867.12
54,35,1,2,23798.06
55,36,1,2,22917.33
56,36,2,1,56346.2
57,37,4,1,779.95
58,38,2,1,57341.27
59,39,1,2,24678.67
60,40,3,2,1940.43
61,40,2,1,55222.0
62,41,7,1,888.35
63,42,5,2,4475.3
64,42,3,2,1921.13
65,43,6,1,1132.69
66,44,2,1,55237.51
67,44,3,1,1952.96
68,44,2,1,55225.9
69,45,6,1,1173.18
70,46,1,1,22672.61
71,46,1,1,23520.3
72,47,1,1,24221.58
73,47,3,2,1976.31
74,48,4,1,762.85
75,48,3,1,1893.01
76,49,2,1,56910.57
77,49,5,1,4178.48
78,50,4,1,734.68
79,51,6,1,1138.12
80,51,4,1,726.06
81,52,2,2,54093.05
82,53,2,2,54401.84
83,54,1,2,22954.31
84,54,5,2,4485.63
85,55,1,1,24954.27
86,56,1,1,24509.54
87,57,1,2,24856.36
88,58,4,1,737.61
89,59,4,2,768.67
90,60,1,2,23660.6
91,60,2,2,54271.92
92,61,1,2,22520.91
93,62,6,2,1181.08
94,63,2,1,58826.97
95,64,1,1,22621.64
96,64,4,2,781.32
97,65,2,1,57126.44
98,66,7,2,856.62
99,67,1,1,23018.11
100,68,3,1,1833.98
101,68,1,1,23367.41
102,69,6,2,1188.99
103,70,2,1,56598.98
104,70,1,2,24722.82
105,71,4,2,780.66
106,72,2,1,58298.38
107,73,1,2,23971.26
108,74,2,1,55289.48
109,75,1,2,24310.86
110,76,1,2,22692.43
111,76,2,2,54801.9
112,77,6,1,1159.14
113,78,5,2,4297.2
114,78,2,1,55584.37
115,79,5,2,4151.27
116,79,6,2,1112.34
117,79,2,2,56778.69
118,80,1,1,23988.26
119,81,6,1,1173.21
120,82,2,2,58565.11
121,82,2,2,58720.25
122,83,2,2,56210.08
123,83,4,2,737.38
124,84,5,2,4065.15
125,85,2,1,58945.96
126,85,3,2,1807.8
127,86,2,2,56573.91
128,86,6,2,1186.57
129,87,2,1,56618.52
130,88,1,2,24612.18
131,88,1,1,24531.78
132,89,1,2,22737.29
133,89,2,2,59418.56
134,90,1,1,24516.66
135,90,1,2,22514.3
136,90,2,1,55448.98
137,91,4,1,745.45
138,92,1,1,23401.07
139,92,1,1,23515.03
140,92,2,2,55876.67
141,93,3,1,1803.15
142,93,2,1,58586.12
143,94,4,2,744.72
144,94,1,1,24592.8
145,95,4,1,795.07
146,95,4,1,789.15
147,96,2,1,54415.97
148,97,4,1,755.38
149,97,2,2,54830.61
150,98,1,2,23992.13
151,99,5,2,4217.17
152,99,2,2,57166.06
153,99,1,1,23673.21
154,100,4,2,771.96
155,101,3,2,1987.99
156,101,5,2,4074.01
157,102,1,2,23406.08
158,103,1,2,24854.23
159,103,3,1,1926.33
160,104,2,1,58182.81
161,105,4,2,764.38
162,105,3,1,1927.19
163,106,3,1,1840.83
164,107,1,2,24169.4
165,108,3,2,1812.12
166,108,2,2,58674.62
167,109,1,1,23633.95
168,109,1,2,24507.03
169,110,1,1,24097.58
170,110,1,2,23504.72
171,110,1,1,23961.25
172,111,2,2,59527.85
173,111,2,2,58443.39
174,112,4,1,724.16
175,113,2,2,55384.77
176,114,1,2,24702.43
177,114,1,2,24226.7
178,114,7,1,829.01
179,115,1,1,24208.63
180,115,7,1,876.37
181,116,1,1,22813.05
182,117,1,1,24743.41
183,118,2,1,57713.95
184,118,1,1,24618.47
185,119,1,2,23368.77
186,120,1,2,24542.43
187,121,1,2,23265.13
188,121,2,2,56313.59
189,122,4,2,733.45
190,123,2,2,55611.37
191,124,2,2,56630.74
192,125,3,1,1951.86
193,126,1,2,22521.77
194,126,1,1,24495.73
195,126,4,2,770.45
196,127,1,2,22824.2
197,128,1,1,23384.24
198,129,2,2,55263.04
199,130,2,1,58660.82
200,130,1,2,24661.65
201,131,5,1,4094.36
202,132,1,1,23908.52
203,132,2,2,54935.89
204,133,1,2,23763.77
205,134,7,1,810.28
206,135,4,1,726.58
207,136,2,1,56374.25
208,137,7,1,847.67
209,137,1,1,22976.81
210,138,7,2,870.05
211,139,1,1,22998.11
212,139,4,1,763.04
213,140,1,1,24412.9
214,140,3,2,1874.29
215,141,1,2,23677.17
216,142,2,2,56899.09
217,142,7,1,869.23
218,143,6,2,1128.82
219,144,1,2,23540.36
220,145,4,2,735.71
221,146,4,1,760.81
222,146,2,1,57475.89
223,146,1,2,24674.02
224,147,2,2,57315.97
225,148,1,2,23198.54
226,149,2,2,55111.62
227,150,1,2,23726.91
228,151,3,2,1857.14
229,152,7,2,860.29
230,152,1,2,22857.5
231,152,2,2,55516.79
232,153,1,2,22717.54
233,153,4,1,778.36
234,153,2,1,58775.56
235,154,2,1,54151.42
236,155,1,1,24685.18
237,156,7,2,877.65
238,157,2,2,58755.57
239,157,3,2,1875.31
240,158,3,2,1891.66
241,159,1,1,23234.87
242,160,4,1,723.2
243,161,1,2,24811.31
244,162,2,1,56808.41
245,162,3,1,1954.5
246,163,1,1,23718.16
247,163,7,2,856.16
248,164,4,1,781.56
249,164,1,1,24270.3
250,165,2,1,54182.78
251,166,1,1,24116.5
252,167,2,1,59463.63
253,168,1,1,22808.5
254,169,2,2,57306.96
255,169,1,2,24820.96
256,170,2,2,54149.83
257,170,3,2,1843.1
258,170,1,2,22624.04
259,171,5,2,4461.73
260,171,4,2,742.48
261,172,1,1,24026.93
262,173,2,1,58504.62
263,174,4,1,736.86
264,175,1,1,23914.45
265,176,1,2,23414.71
266,176,4,2,721.53
267,176,2,2,56586.67
268,177,2,1,55406.55
269,178,2,1,55993.23
270,179,2,2,59599.23
271,180,2,1,57920.3
272,181,1,2,24620.27
273,182,2,1,57037.98
274,182,5,2,4174.86
275,182,2,1,56038.62
276,183,5,2,4372.22
277,184,1,1,23589.11
278,184,2,1,55871.28
279,185,2,2,55878.98
280,186,5,2,4204.52
281,186,2,2,57246.02
282,187,2,2,56235.05
283,187,4,2,735.88
284,187,2,1,54554.16
285,188,4,2,741.84
286,189,5,1,4251.02
287,190,3,2,1801.01
288,191,2,1,58507.06
289,192,3,2,1835.44
290,192,1,2,24543.52
291,193,1,2,24460.52
292,193,7,1,829.12
293,194,5,2,4372.7
294,194,1,1,24711.47
295,195,3,1,1859.01
296,195,4,2,775.28
297,196,1,1,24324.28
298,197,1,1,23574.89
299,197,2,1,58934.97
300,197,1,1,24337.31
301,198,1,2,24205.38
302,199,3,2,1919.22
303,199,1,2,24080.6
304,199,6,2,1093.99
305,200,1,1,22613.12
306,201,1,1,24146.65
307,202,1,2,24682.55
308,202,1,2,24142.58
309,202,1,1,23527.14
310,203,3,2,1802.16
311,204,2,1,58679.93
312,204,2,2,57461.14
313,205,3,2,1818.43
314,206,2,1,54403.41
315,207,1,1,24249.26
316,208,1,1,23830.73
317,208,4,2,789.85
318,209,1,2,23240.89
319,209,6,1,1109.55
320,210,3,2,1851.93
321,211,6,1,1108.81
322,211,5,2,4072.66
323,211,2,2,54163.5
324,212,3,2,1845.3
325,213,2,1,54827.31
326,213,4,2,748.74
327,214,5,1,4084.4
328,214,5,1,4207.87
329,215,4,1,724.14
330,216,1,1,22711.72
331,217,3,2,1982.58
332,218,2,2,56285.95
333,219,4,2,780.95
334,219,5,1,4256.61
335,220,1,1,22541.89
336,221,1,2,24209.67
337,221,2,1,57610.09
338,222,1,2,23519.37
339,222,1,2,24135.4
340,222,2,2,59826.91
341,223,1,2,24612.16
342,224,3,2,1823.27
343,225,2,1,54264.24
344,225,6,1,1089.22
345,226,2,2,58088.12
346,227,2,2,58888.03
347,227,4,1,755.05
348,227,4,1,740.43
349,228,2,2,58500.17
350,229,3,2,1931.63
351,230,4,1,743.04
352,231,2,2,58963.81
353,232,1,1,23050.22
354,233,4,2,764.56
355,234,2,2,59812.05
356,235,2,1,55322.68
357,236,3,2,1892.92
358,236,2,1,57812.49
359,237,2,1,54548.24
360,237,6,2,1143.76
361,238,6,1,1127.79
362,238,2,2,58946.83
363,239,7,1,810.73
364,240,5,1,4244.09
365,240,2,2,58608.77
366,240,3,2,1850.23
367,241,5,2,4296.36
368,241,1,1,23271.17
369,242,1,2,24710.89
370,243,2,2,54038.27
371,244,2,2,55946.07
372,244,2,1,58370.23
373,244,4,1,788.58
374,245,2,1,59680.54
375,245,2,2,56293.51
376,246,7,1,899.13
377,246,1,1,24994.06
378,247,1,2,24220.11
379,248,1,1,22995.24
380,249,1,1,23056.69
381,250,1,2,24792.36
382,251,5,2,4126.92
383,251,1,2,23605.63
384,252,7,2,817.57
385,252,1,2,23351.36
386,253,1,1,24154.3
387,253,4,2,746.85
388,254,6,1,1082.84
389,255,5,1,4187.07
390,255,6,1,1107.78
391,256,2,2,54215.58
392,256,2,2,54303.73
393,257,2,1,54058.12
394,258,1,1,23958.13
395,258,2,2,58689.69
396,259,1,1,22600.65
397,260,1,1,23915.54
398,261,5,2,4173.86
399,262,1,1,24378.63
400,262,1,1,23436.8
401,263,1,2,22732.99
402,264,2,1,58833.89
403,265,2,2,55556.33
404,266,1,2,22738.4
405,267,1,1,24066.14
406,268,1,1,23027.81
407,269,2,1,59223.8
408,269,2,1,56652.64
409,270,5,2,4362.21
410,271,4,1,765.76
411,272,5,1,4459.86
412,272,1,1,22873.12
413,273,3,2,1881.54
414,274,1,2,22641.7
415,275,5,1,4201.89
416,276,2,1,57849.03
417,276,4,1,747.59
418,277,6,1,1115.67
419,278,1,1,24120.26
420,279,5,1,4421.73
421,279,2,1,57273.49
422,280,6,1,1098.76
423,281,1,1,22705.06
424,281,4,2,741.65
425,282,4,2,755.56
426,283,5,2,4489.78
427,284,6,2,1171.4
428,284,3,1,1973.22
429,285,3,1,1953.6
430,286,1,2,23568.72
431,287,2,1,57004.27
432,288,1,1,24836.08
433,288,2,1,55673.63
434,289,1,1,24448.79
435,290,3,2,1850.72
436,291,1,1,24979.91
437,292,3,2,1956.18
438,293,7,2,887.9
439,293,7,2,815.49
440,294,4,2,773.91
441,295,2,2,54910.65
442,295,1,1,23985.6
443,296,2,2,54032.43
444,296,4,2,754.32
445,297,1,1,22545.97
446,298,1,2,23083.33
447,299,2,1,57913.41
448,299,4,1,724.8
449,300,2,2,54732.04
450,301,1,1,24335.38
451,301,2,2,55100.71
452,302,2,2,55991.83
453,303,3,1,1924.55
454,304,4,2,722.23
455,304,2,2,58664.73
456,305,1,2,22936.62
457,305,2,1,57800.47
458,306,2,2,54302.5
459,306,2,2,57552.1
460,307,7,1,855.03
461,308,2,2,59038.92
462,309,1,2,24793.17
463,310,1,2,24628.99
464,311,2,2,57152.82
465,311,3,2,1998.88
466,311,2,2,58753.15
467,312,1,2,24036.21
468,312,2,2,55774.94
469,313,2,1,54490.0
470,314,1,1,24084.28
471,314,1,2,23605.92
472,314,3,2,1945.76
473,315,4,1,786.98
474,316,1,2,22836.44
475,317,1,1,23651.67
476,318,5,1,4096.55
477,319,5,2,4179.71
478,320,3,1,1800.01
479,321,2,1,57326.14
480,321,6,2,1081.55
481,322,1,2,24736.01
482,323,3,1,1902.89
483,323,1,2,24530.65
484,324,4,2,768.57
485,325,1,1,23474.75
486,326,4,2,727.73
487,327,1,1,24941.99
488,328,3,2,1974.72
489,329,1,2,23659.54
490,329,5,1,4197.12
491,329,1,1,23295.76
492,330,1,2,24205.48
493,331,5,1,4214.1
494,332,1,1,23946.23
495,332,2,2,57435.86
496,333,1,1,24682.15
497,334,4,2,727.4
498,335,1,1,22564.22
499,335,2,2,55845.18
500,336,4,1,788.0
501,337,2,2,57306.31
502,338,3,1,1895.7
503,339,7,2,879.44
504,340,3,2,1821.1
505,340,3,2,1894.83
506,341,2,1,57826.64
507,342,6,2,1142.79
508,342,2,1,58135.86
509,343,1,2,24132.37
510,344,1,1,24524.81
511,345,1,2,24734.09
512,346,3,1,1893.24
513,347,1,2,24426.12
514,348,2,1,59468.04
515,349,6,2,1190.89
516,350,1,1,24255.27
517,350,3,1,1993.31
518,350,3,2,1879.19
519,351,6,2,1116.87
520,351,2,2,59608.38
521,352,1,1,23294.96
522,353,1,1,23444.6
523,354,5,1,4084.53
524,355,2,1,57948.61
525,356,7,2,820.27
526,356,2,2,56404.23
527,356,4,1,756.17
528,357,6,2,1126.47
529,357,2,1,57698.57
530,357,2,2,57889.4
531,358,1,1,23537.4
532,359,1,1,24886.41
